,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,165.88,254.19,116.28,171.53,27.27,139.53,276,31.65,18.42,27.4,0.34,0,0,66.95,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,165.88,0,,305.46,127.23,269.44,99.02,352.41,253.08,134.8,60.08,53.89,0,0,0,119.22,
4B,254.19,0,305.46,,161.36,301.08,82.16,147.16,204.47,98.34,55.97,80.11,0,0,0,147.45,
5B,116.28,0,127.23,161.36,,133.99,58.53,188.59,129.78,86.84,3.36,90.04,0,0,0,53.01,
6B,171.53,0,269.44,301.08,133.99,,25.14,266.43,142.46,67.17,21.06,36.57,16.81,0,0,154.51,
7B,27.27,0,99.02,82.16,58.53,25.14,,233.05,115.91,9.67,43.36,13.17,0,0,0,64.07,
8B,139.53,0,352.41,147.16,188.59,266.43,233.05,,178.6,183.93,10.73,46.35,0,0,0,225.49,
9B,276,0,253.08,204.47,129.78,142.46,115.91,178.6,,109.04,68.25,74.36,0,0,0,109.71,
10B,31.65,0,134.8,98.34,86.84,67.17,9.67,183.93,109.04,,18.76,124.03,0,0,0,17.55,
T1B,18.42,0,60.08,55.97,3.36,21.06,43.36,10.73,68.25,18.76,,5.38,0,0,0,4.9,
T2B,27.4,0,53.89,80.11,90.04,36.57,13.17,46.35,74.36,124.03,5.38,,0,0,0,17.95,
Lab1B,0.34,0,0,0,0,16.81,0,0,0,0,0,0,,0,0,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,66.95,0,119.22,147.45,53.01,154.51,64.07,225.49,109.71,17.55,4.9,17.95,0,0,0,,
