,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,263.39,289.59,0,0,166.76,74.26,251.39,126.25,43.65,101.52,46,0,19.74,0,0,
2B,263.39,,466.83,0,0,457.61,229.66,534.32,256.3,309.82,75.79,257.6,18.37,0,0,0,
3B,289.59,466.83,,0,0,325.99,279.06,613.67,396.58,42.87,139.15,100.36,3.89,0,0,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,166.76,457.61,325.99,0,0,,109.51,351.1,375.94,98.1,21.97,70.59,3.33,0,1.51,0,
7B,74.26,229.66,279.06,0,0,109.51,,188.68,219.87,30.27,92.67,17.31,10.54,0,5.17,0,
8B,251.39,534.32,613.67,0,0,351.1,188.68,,429.07,136.58,162.66,46.28,12.44,0,93.54,0,
9B,126.25,256.3,396.58,0,0,375.94,219.87,429.07,,133.51,148.43,34.12,0,0,46.61,0,
10B,43.65,309.82,42.87,0,0,98.1,30.27,136.58,133.51,,18.53,62.28,0,0,0,0,
T1B,101.52,75.79,139.15,0,0,21.97,92.67,162.66,148.43,18.53,,4.86,0,0,0,0,
T2B,46,257.6,100.36,0,0,70.59,17.31,46.28,34.12,62.28,4.86,,13.61,9.32,0,0,
Lab1B,0,18.37,3.89,0,0,3.33,10.54,12.44,0,0,0,13.61,,0,4.21,0,
Lab2B,19.74,0,0,0,0,0,0,0,0,0,0,9.32,0,,0,0,
Lab3B,0,0,0,0,0,1.51,5.17,93.54,46.61,0,0,0,4.21,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
