,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,506.67,371.65,0,207.37,228.54,260.71,369.8,0,101.67,142.47,0,172.12,0,0,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,506.67,0,,323.94,0,244.87,406.03,621.38,453.17,0,32.39,250.24,5.19,308.38,0,0,
4B,371.65,0,323.94,,0,314.34,343.78,321.93,293.26,0,102.87,176.74,1.92,208.06,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,207.37,0,244.87,314.34,0,,100.75,201.37,386.71,0,72.87,246.69,0,186.79,0,0,
7B,228.54,0,406.03,343.78,0,100.75,,579.84,245.45,0,125.52,33.39,0,370.62,0,0,
8B,260.71,0,621.38,321.93,0,201.37,579.84,,459.77,0,125.07,202.34,0,327.74,0,0,
9B,369.8,0,453.17,293.26,0,386.71,245.45,459.77,,0,77.1,343.45,30.91,365.45,0,0,
10B,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
T1B,101.67,0,32.39,102.87,0,72.87,125.52,125.07,77.1,0,,23.47,0,27.43,0,0,
T2B,142.47,0,250.24,176.74,0,246.69,33.39,202.34,343.45,0,23.47,,0,43.03,0,0,
Lab1B,0,0,5.19,1.92,0,0,0,0,30.91,0,0,0,,2.08,0,0,
Lab2B,172.12,0,308.38,208.06,0,186.79,370.62,327.74,365.45,0,27.43,43.03,2.08,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
