,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,789.200000000001,609.15,530.31,506.03,0,141.46,189.99,661.21,311.17,288.25,259.69,0,0,0,0,
2B,789.200000000001,,1536.92,1007.72,928.68,0,697.3,1263.87,1007.74,535.78,670.34,325.41,11.15,4.77,2.78,0,
3B,609.15,1536.92,,611.450000000001,1378.97,0,927.47,1503.9,1113.33,534.800000000001,961.83,344.28,113.07,0,14.9,0,
4B,530.31,1007.72,611.450000000001,,797.57,0,305.15,373.66,877.59,546.86,455.07,380.01,4.08,8.28,2.85,0,
5B,506.03,928.68,1378.97,797.57,,0,654.1,986.7,924.85,551.79,515.6,273.86,24.72,18.87,0,0,
6B,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
7B,141.46,697.3,927.47,305.15,654.1,0,,841.97,919.34,183.07,415.34,219.82,0,0,15.44,0,
8B,189.99,1263.87,1503.9,373.66,986.7,0,841.97,,972.93,442.23,814.21,266.74,70.36,45.82,81.34,0,
9B,661.21,1007.74,1113.33,877.59,924.85,0,919.34,972.93,,635.79,617.91,522.61,0,18.58,0,0,
10B,311.17,535.78,534.800000000001,546.86,551.79,0,183.07,442.23,635.79,,251.68,241.44,13.44,13.42,0,0,
T1B,288.25,670.34,961.83,455.07,515.6,0,415.34,814.21,617.91,251.68,,155.15,110.24,0,3.51,0,
T2B,259.69,325.41,344.28,380.01,273.86,0,219.82,266.74,522.61,241.44,155.15,,0,0,1.91,0,
Lab1B,0,11.15,113.07,4.08,24.72,0,0,70.36,0,13.44,110.24,0,,4.92,17.66,0,
Lab2B,0,4.77,0,8.28,18.87,0,0,45.82,18.58,13.42,0,0,4.92,,4.13,0,
Lab3B,0,2.78,14.9,2.85,0,0,15.44,81.34,0,0,3.51,1.91,17.66,4.13,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
