,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2B,0,,809.05,528.180000000001,628.24,544.15,332.22,559.7,508.12,275.96,31.92,343.61,0,0,0,189.39,
3B,0,809.05,,441.39,770.09,418.81,246.25,520.04,494.85,159.73,29.04,119.48,11.9,0,8.41,119.84,
4B,0,528.180000000001,441.39,,422.95,308.22,322.32,638.48,455.98,262.02,9.18,275.57,0,0,5.75,249.31,
5B,0,628.24,770.09,422.95,,319.94,219.24,557.26,556.44,96.06,54.73,171.35,6.57,0,1.22,148.84,
6B,0,544.15,418.81,308.22,319.94,,251.85,534.58,581.960000000001,241.63,67.11,216.1,0.85,0,0,243.3,
7B,0,332.22,246.25,322.32,219.24,251.85,,277.79,265.02,93.1999999999999,41.76,153.51,0,0,42.24,221.86,
8B,0,559.7,520.04,638.48,557.26,534.58,277.79,,722.48,124.16,82.19,276.55,1.13,0,2.48,152.88,
9B,0,508.12,494.85,455.98,556.44,581.960000000001,265.02,722.48,,240.31,22,255.51,12.07,0,0,193.38,
10B,0,275.96,159.73,262.02,96.06,241.63,93.1999999999999,124.16,240.31,,33.61,135.23,0,0,0,83.03,
T1B,0,31.92,29.04,9.18,54.73,67.11,41.76,82.19,22,33.61,,1.43,0,0,4.36,7.88,
T2B,0,343.61,119.48,275.57,171.35,216.1,153.51,276.55,255.51,135.23,1.43,,0,0,4.43,130.35,
Lab1B,0,0,11.9,0,6.57,0.85,0,1.13,12.07,0,0,0,,0,9.37,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,8.41,5.75,1.22,0,42.24,2.48,0,0,4.36,4.43,9.37,0,,1.36,
T3B,0,189.39,119.84,249.31,148.84,243.3,221.86,152.88,193.38,83.03,7.88,130.35,0,0,1.36,,
