,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,48.71,0,0,191.84,17.47,125.15,119.6,85.61,30.82,44.34,0,7.84,1.8,0,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,48.71,0,,0,0,35.08,160.5,52.26,96.74,20.46,21.98,0,0,0.76,77.27,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,191.84,0,35.08,0,0,,50.66,298.02,247.18,55.36,157.04,81.01,0,0,0,0,
7B,17.47,0,160.5,0,0,50.66,,150.31,118.69,53.71,55.14,56.31,0,0,1.87,0,
8B,125.15,0,52.26,0,0,298.02,150.31,,431.9,70.2,166.98,119.45,5.6,26.09,22.97,0,
9B,119.6,0,96.74,0,0,247.18,118.69,431.9,,89.83,76.96,66.98,1.85,0,0,0,
10B,85.61,0,20.46,0,0,55.36,53.71,70.2,89.83,,9.69,9.49,0,0,2.54,0,
T1B,30.82,0,21.98,0,0,157.04,55.14,166.98,76.96,9.69,,20.87,0,0,1.25,0,
T2B,44.34,0,0,0,0,81.01,56.31,119.45,66.98,9.49,20.87,,0,50.7,0,0,
Lab1B,0,0,0,0,0,0,0,5.6,1.85,0,0,0,,4.11,6.48,0,
Lab2B,7.84,0,0.76,0,0,0,0,26.09,0,0,0,50.7,4.11,,4.3,0,
Lab3B,1.8,0,77.27,0,0,0,1.87,22.97,0,2.54,1.25,0,6.48,4.3,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
