,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,285.66,344.52,169.61,250.66,47.24,166.94,393.1,64.7,37.94,95.35,0.34,0,0,89.18,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,285.66,0,,399.05,249.71,410.08,187.92,533.55,515.87,232.8,76.8,117.38,0,0,0,146.43,
4B,344.52,0,399.05,,228.98,314.58,126.98,173.6,359.12,208.49,75.12,152.16,0,0,0,180.3,
5B,169.61,0,249.71,228.98,,182.24,101.34,233.46,189.35,138.43,34.96,149.67,0,0,0,62.58,
6B,250.66,0,410.08,314.58,182.24,,32.91,379.23,338.01,125.07,31.16,103.68,16.81,0,0,190.47,
7B,47.24,0,187.92,126.98,101.34,32.91,,356.41,173.49,28.21,74,22.33,0,0,0,70.25,
8B,166.94,0,533.55,173.6,233.46,379.23,356.41,,441.24,234.7,37.67,96.23,0,0,0,257.72,
9B,393.1,0,515.87,359.12,189.35,338.01,173.49,441.24,,155.7,129.09,103.03,0,0,0,186.79,
10B,64.7,0,232.8,208.49,138.43,125.07,28.21,234.7,155.7,,28.6,154.14,0,0,0,47.09,
T1B,37.94,0,76.8,75.12,34.96,31.16,74,37.67,129.09,28.6,,9.04,0,0,0,13.97,
T2B,95.35,0,117.38,152.16,149.67,103.68,22.33,96.23,103.03,154.14,9.04,,0,0,0,47.61,
Lab1B,0.34,0,0,0,0,16.81,0,0,0,0,0,0,,0,0,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,89.18,0,146.43,180.3,62.58,190.47,70.25,257.72,186.79,47.09,13.97,47.61,0,0,0,,
