,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,407.84,346.29,0,0,259.06,149.61,350.99,399.68,72.01,142.4,74.45,0,28.17,0,0,
2B,407.84,,625.33,0,0,520.2,331.27,764.87,495.39,321.83,110.6,262.8,27.99,0,21.31,0,
3B,346.29,625.33,,0,0,386.58,431.55,865.66,663.21,100.55,220.53,116.63,21.66,0,16.91,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,259.06,520.2,386.58,0,0,,133.59,400.67,652.57,127.53,63.26,94.38,4.81,23.23,1.51,0,
7B,149.61,331.27,431.55,0,0,133.59,,236.08,378.03,43.44,171.13,77.73,33.63,0,9.12,0,
8B,350.99,764.87,865.66,0,0,400.67,236.08,,832.7,148.65,370.75,124.86,12.44,0,93.54,0,
9B,399.68,495.39,663.21,0,0,652.57,378.03,832.7,,164.68,318.97,110.1,0,0,46.61,0,
10B,72.01,321.83,100.55,0,0,127.53,43.44,148.65,164.68,,32.18,87.19,0,0,0,0,
T1B,142.4,110.6,220.53,0,0,63.26,171.13,370.75,318.97,32.18,,9.7,1.75,0,0,0,
T2B,74.45,262.8,116.63,0,0,94.38,77.73,124.86,110.1,87.19,9.7,,13.61,12.15,0,0,
Lab1B,0,27.99,21.66,0,0,4.81,33.63,12.44,0,0,1.75,13.61,,0,4.21,0,
Lab2B,28.17,0,0,0,0,23.23,0,0,0,0,0,12.15,0,,0,0,
Lab3B,0,21.31,16.91,0,0,1.51,9.12,93.54,46.61,0,0,0,4.21,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
