,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2B,0,,1085.69,813.94,833.14,811.400000000001,590.080000000001,1077.43,1088.04,478.05,215.85,650.75,5.33,0,14.14,371.45,
3B,0,1085.69,,697.39,1072.33,729.33,550.45,1111.73,1139.7,276.77,303.8,385.62,63,0,100.39,388.64,
4B,0,813.94,697.39,,653.91,623.550000000001,454.1,856.44,721.28,485.6,76.29,510.11,1.05,0,36.99,356.12,
5B,0,833.14,1072.33,653.91,,584.2,422,903.95,883.750000000001,236.13,235.22,314.2,15.73,0,9.83,321.17,
6B,0,811.400000000001,729.33,623.550000000001,584.2,,521.67,898.990000000001,941.810000000001,387.41,185.05,359.04,7.39,0,12.2,429.57,
7B,0,590.080000000001,550.45,454.1,422,521.67,,511.06,613.02,235.27,83.79,403.52,2.45,0,89.12,284.8,
8B,0,1077.43,1111.73,856.44,903.95,898.990000000001,511.06,,1163.25,326.67,190.64,586.13,34.98,0,149.11,367.37,
9B,0,1088.04,1139.7,721.28,883.750000000001,941.810000000001,613.02,1163.25,,473.82,260.73,542.01,24.11,0,16.32,451.3,
10B,0,478.05,276.77,485.6,236.13,387.41,235.27,326.67,473.82,,58.94,249.35,0,0,8.45,240.97,
T1B,0,215.85,303.8,76.29,235.22,185.05,83.79,190.64,260.73,58.94,,21.28,1.69,0,17.21,18.02,
T2B,0,650.75,385.62,510.11,314.2,359.04,403.52,586.13,542.01,249.35,21.28,,0,0,10.11,265.42,
Lab1B,0,5.33,63,1.05,15.73,7.39,2.45,34.98,24.11,0,1.69,0,,0,38.11,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,14.14,100.39,36.99,9.83,12.2,89.12,149.11,16.32,8.45,17.21,10.11,38.11,0,,6.19,
T3B,0,371.45,388.64,356.12,321.17,429.57,284.8,367.37,451.3,240.97,18.02,265.42,0,0,6.19,,
