,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,395.7,315.5,359.24,360.45,0,52.18,57.79,477.15,214.18,114.63,101.2,0,0,0,0,
2B,395.7,,843.6,665.11,487.1,0,418.27,707.23,489.54,290.69,250.93,48.4,1.73,0,1.72,0,
3B,315.5,843.6,,364.15,868.24,0,634.4,1027.88,789.7,294.3,542.75,49.79,1.23,0,3.48,0,
4B,359.24,665.11,364.15,,518.26,0,145.68,211.93,535.61,379.8,116.74,62.26,0,0,1.44,0,
5B,360.45,487.1,868.24,518.26,,0,362.03,645.46,629.26,361.44,330.44,101.01,13.18,6.15,0,0,
6B,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
7B,52.18,418.27,634.4,145.68,362.03,0,,518.76,649.08,67.95,183.25,43.21,0,0,10.05,0,
8B,57.79,707.23,1027.88,211.93,645.46,0,518.76,,591.61,234.23,490.07,45.69,7.99,0,61.68,0,
9B,477.15,489.54,789.7,535.61,629.26,0,649.08,591.61,,427.84,349.57,146.01,0,12.19,0,0,
10B,214.18,290.69,294.3,379.8,361.44,0,67.95,234.23,427.84,,50.94,47.88,0,10.81,0,0,
T1B,114.63,250.93,542.75,116.74,330.44,0,183.25,490.07,349.57,50.94,,51.85,42.4,0,3.51,0,
T2B,101.2,48.4,49.79,62.26,101.01,0,43.21,45.69,146.01,47.88,51.85,,0,0,1.91,0,
Lab1B,0,1.73,1.23,0,13.18,0,0,7.99,0,0,42.4,0,,2.75,9.22,0,
Lab2B,0,0,0,0,6.15,0,0,0,12.19,10.81,0,0,2.75,,0.87,0,
Lab3B,0,1.72,3.48,1.44,0,0,10.05,61.68,0,0,3.51,1.91,9.22,0.87,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
