,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2B,0,,613.980000000001,299.06,485.11,389.89,196.64,424.98,362.83,177.41,1.94,228.8,0,0,0,108.23,
3B,0,613.980000000001,,303.17,605.63,288.51,173.32,374.95,408.64,120.51,17.11,44.95,7.98,0,8.41,79.16,
4B,0,299.06,303.17,,288.87,247.92,306.33,500.28,236.11,189.72,1.4,169.12,0,0,0,241.2,
5B,0,485.11,605.63,288.87,,223.43,126.22,444.14,431.13,81.12,20.86,69.88,5.54,0,1.22,67.88,
6B,0,389.89,288.51,247.92,223.43,,122.27,300.48,463.6,199.5,22.15,115.78,0,0,0,147.65,
7B,0,196.64,173.32,306.33,126.22,122.27,,223.76,100.41,33.53,1.94,105.32,0,0,42.24,208.3,
8B,0,424.98,374.95,500.28,444.14,300.48,223.76,,510.84,58.67,42.81,84.97,1.13,0,2.48,133.78,
9B,0,362.83,408.64,236.11,431.13,463.6,100.41,510.84,,134.24,7.22,165,10.09,0,0,43.15,
10B,0,177.41,120.51,189.72,81.12,199.5,33.53,58.67,134.24,,10.21,102.71,0,0,0,0,
T1B,0,1.94,17.11,1.4,20.86,22.15,1.94,42.81,7.22,10.21,,1.43,0,0,0,1.62,
T2B,0,228.8,44.95,169.12,69.88,115.78,105.32,84.97,165,102.71,1.43,,0,0,4.43,68.72,
Lab1B,0,0,7.98,0,5.54,0,0,1.13,10.09,0,0,0,,0,6.01,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,8.41,0,1.22,0,42.24,2.48,0,0,0,4.43,6.01,0,,0,
T3B,0,108.23,79.16,241.2,67.88,147.65,208.3,133.78,43.15,0,1.62,68.72,0,0,0,,
