,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,689.55,423.93,0,481.28,270.75,311.52,588.43,0,124.85,288.29,0,239.43,0,0,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,689.55,0,,388.66,0,424.1,551.6,900.84,711.59,0,152.25,405.15,13.79,426.68,0,0,
4B,423.93,0,388.66,,0,483.43,390.69,425.36,484.89,0,126.84,320.94,1.92,267.52,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,481.28,0,424.1,483.43,0,,166.08,477.29,665.19,0,95.3,352.22,0,328.76,0,0,
7B,270.75,0,551.6,390.69,0,166.08,,689.97,454.14,0,157.67,88.26,0,487.16,0,0,
8B,311.52,0,900.84,425.36,0,477.29,689.97,,813.09,0,245.31,279.34,0,513.32,0,0,
9B,588.43,0,711.59,484.89,0,665.19,454.14,813.09,,0,213.57,614.52,36.02,490.96,0,0,
10B,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
T1B,124.85,0,152.25,126.84,0,95.3,157.67,245.31,213.57,0,,118.01,0,56.79,0,0,
T2B,288.29,0,405.15,320.94,0,352.22,88.26,279.34,614.52,0,118.01,,0,73.39,0,0,
Lab1B,0,0,13.79,1.92,0,0,0,0,36.02,0,0,0,,3.51,0,0,
Lab2B,239.43,0,426.68,267.52,0,328.76,487.16,513.32,490.96,0,56.79,73.39,3.51,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
