,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,79.49,0,0,286.21,29.09,147.63,258.17,104.46,47.32,82.37,0,20.05,1.8,0,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,79.49,0,,0,0,37.15,177.38,124.84,158.25,43.21,42.36,12.33,0,17.39,77.27,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,286.21,0,37.15,0,0,,73.54,442.13,490.2,98.18,199.17,99.26,1.84,23.04,2.99,0,
7B,29.09,0,177.38,0,0,73.54,,261.32,246.3,66.4,58.42,114.64,0,0,1.87,0,
8B,147.63,0,124.84,0,0,442.13,261.32,,856.86,207.81,315.1,202.92,5.6,35.34,29.32,0,
9B,258.17,0,158.25,0,0,490.2,246.3,856.86,,173.2,301.23,276.47,4.53,89.21,0,0,
10B,104.46,0,43.21,0,0,98.18,66.4,207.81,173.2,,58.76,84.28,0,24.58,2.54,0,
T1B,47.32,0,42.36,0,0,199.17,58.42,315.1,301.23,58.76,,30.19,0,0,1.25,0,
T2B,82.37,0,12.33,0,0,99.26,114.64,202.92,276.47,84.28,30.19,,0,61.99,0,0,
Lab1B,0,0,0,0,0,1.84,0,5.6,4.53,0,0,0,,5.59,7.41,0,
Lab2B,20.05,0,17.39,0,0,23.04,0,35.34,89.21,24.58,0,61.99,5.59,,6.62,0,
Lab3B,1.8,0,77.27,0,0,2.99,1.87,29.32,0,2.54,1.25,0,7.41,6.62,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
