,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,231.72,284.04,0,153.04,207.9,176.09,101.85,0,73.87,79.78,0,0,0,0,0,
2B,231.72,,495.79,0,533.25,388.96,421.08,684.830000000001,0,215.15,477.93,0,0,0,0,0,
3B,284.04,495.79,,0,409.23,312.84,435.76,416.94,0,102.72,201.07,0,0,0,0,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,153.04,533.25,409.23,0,,293.68,460.32,462.26,0,329.06,269.02,0,0,0,0,0,
6B,207.9,388.96,312.84,0,293.68,,248.8,470.3,0,113,90.16,0,0,0,0,0,
7B,176.09,421.08,435.76,0,460.32,248.8,,246.56,0,280.22,174.09,0,0,0,0,0,
8B,101.85,684.830000000001,416.94,0,462.26,470.3,246.56,,0,174.18,352.63,0,0,0,0,0,
9B,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
10B,73.87,215.15,102.72,0,329.06,113,280.22,174.18,0,,113.17,0,0,0,0,0,
T1B,79.78,477.93,201.07,0,269.02,90.16,174.09,352.63,0,113.17,,0,0,0,0,0,
T2B,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
Lab1B,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
