,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,223.8,0,0,536.52,62.2,396.24,740.4,187.27,117.13,145.54,0,62.28,15.76,0,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,223.8,0,,0,0,150.52,276.87,394.08,330.56,65.95,125.6,34.97,3.45,23.17,79.3,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,536.52,0,150.52,0,0,,187.57,839.28,921.16,299.59,332.78,188.12,21.28,59.81,64.39,0,
7B,62.2,0,276.87,0,0,187.57,,364.46,397.82,165.62,142.19,165.31,0,0,7.08,0,
8B,396.24,0,394.08,0,0,839.28,364.46,,1457.27,379.82,643.4,358.67,59.85,131.74,90.35,0,
9B,740.4,0,330.56,0,0,921.16,397.82,1457.27,,388.93,525.11,524.3,59.56,228.08,23.07,0,
10B,187.27,0,65.95,0,0,299.59,165.62,379.82,388.93,,109.36,206.77,7.06,41.05,34.88,0,
T1B,117.13,0,125.6,0,0,332.78,142.19,643.4,525.11,109.36,,38.82,16.83,2.07,1.52,0,
T2B,145.54,0,34.97,0,0,188.12,165.31,358.67,524.3,206.77,38.82,,9.72,148.17,0,0,
Lab1B,0,0,3.45,0,0,21.28,0,59.85,59.56,7.06,16.83,9.72,,13.96,28.61,0,
Lab2B,62.28,0,23.17,0,0,59.81,0,131.74,228.08,41.05,2.07,148.17,13.96,,13.54,0,
Lab3B,15.76,0,79.3,0,0,64.39,7.08,90.35,23.07,34.88,1.52,0,28.61,13.54,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
