,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,264.06,171.94,308.95,268.75,0,40.28,26.87,345.46,158.23,49.58,83.11,0,0,0,0,
2B,264.06,,383.32,298.25,253.84,0,263.12,458.79,260.99,253.99,159.88,48.4,1.73,0,1.72,0,
3B,171.94,383.32,,295.07,702.51,0,489.8,719.43,722.38,231.84,458.76,35.89,1.23,0,1.49,0,
4B,308.95,298.25,295.07,,423.98,0,109.51,130.56,431.9,301.89,93.32,45.37,0,0,1.44,0,
5B,268.75,253.84,702.51,423.98,,0,298.91,526.92,544.04,314.73,218.63,82,0,6.15,0,0,
6B,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
7B,40.28,263.12,489.8,109.51,298.91,0,,366.15,558.36,50.73,112.45,21.12,0,0,10.05,0,
8B,26.87,458.79,719.43,130.56,526.92,0,366.15,,406.32,174.95,349.07,26.16,2.23,0,49.35,0,
9B,345.46,260.99,722.38,431.9,544.04,0,558.36,406.32,,334.72,135.24,113.31,0,12.19,0,0,
10B,158.23,253.99,231.84,301.89,314.73,0,50.73,174.95,334.72,,24.23,23.38,0,10.81,0,0,
T1B,49.58,159.88,458.76,93.32,218.63,0,112.45,349.07,135.24,24.23,,47.52,7.89,0,0,0,
T2B,83.11,48.4,35.89,45.37,82,0,21.12,26.16,113.31,23.38,47.52,,0,0,0,0,
Lab1B,0,1.73,1.23,0,0,0,0,2.23,0,0,7.89,0,,2.75,6.93,0,
Lab2B,0,0,0,0,6.15,0,0,0,12.19,10.81,0,0,2.75,,0.87,0,
Lab3B,0,1.72,1.49,1.44,0,0,10.05,49.35,0,0,0,0,6.93,0.87,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
