,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,894.94,895.6,0,0,366.3,211.38,639.32,592.49,177.06,377.98,195.56,3.3,57.93,3.03,0,
2B,894.94,,1349.72,0,0,1016.95,620.47,1521.25,1035.94,496.46,675.75,537.34,78.18,0,34.07,0,
3B,895.6,1349.72,,0,0,969.49,755.7,1606.51,1444.61,341.05,793.82,382.53,286.71,0,200.35,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,366.3,1016.95,969.49,0,0,,319.55,763.330000000001,853.89,340.82,294.65,307.44,14.68,80.28,3.41,0,
7B,211.38,620.47,755.7,0,0,319.55,,508.31,714.94,135.13,346.85,195.24,63.65,0,26.48,0,
8B,639.32,1521.25,1606.51,0,0,763.330000000001,508.31,,1335.83,468.72,845.08,395.88,73.6,0,191.04,0,
9B,592.49,1035.94,1444.61,0,0,853.89,714.94,1335.83,,373.33,756.48,414.9,60.11,0,67.27,0,
10B,177.06,496.46,341.05,0,0,340.82,135.13,468.72,373.33,,234.59,119.62,0,0,62.69,0,
T1B,377.98,675.75,793.82,0,0,294.65,346.85,845.08,756.48,234.59,,53.64,6.69,3.02,4.65,0,
T2B,195.56,537.34,382.53,0,0,307.44,195.24,395.88,414.9,119.62,53.64,,18.4,39.22,0,0,
Lab1B,3.3,78.18,286.71,0,0,14.68,63.65,73.6,60.11,0,6.69,18.4,,0,25.05,0,
Lab2B,57.93,0,0,0,0,80.28,0,0,0,0,3.02,39.22,0,,0,0,
Lab3B,3.03,34.07,200.35,0,0,3.41,26.48,191.04,67.27,62.69,4.65,0,25.05,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
