,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,458.24,588.02,0,391.15,324.87,351.9,322.01,0,153.99,233.49,0,0,0,0,0,
2B,458.24,,904.35,0,1099.94,960.64,837.340000000001,1424.22,0,383.69,953.380000000001,0,0,0,0,0,
3B,588.02,904.35,,0,824.43,571.92,750.28,780.55,0,379.52,501.23,0,0,0,0,0,
4B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
5B,391.15,1099.94,824.43,0,,661.41,691.9,842.65,0,516.86,569.95,0,0,0,0,0,
6B,324.87,960.64,571.92,0,661.41,,473.51,955.15,0,246.42,216.85,0,0,0,0,0,
7B,351.9,837.340000000001,750.28,0,691.9,473.51,,519.4,0,438.74,413.43,0,0,0,0,0,
8B,322.01,1424.22,780.55,0,842.65,955.15,519.4,,0,369.66,859.37,0,0,0,0,0,
9B,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
10B,153.99,383.69,379.52,0,516.86,246.42,438.74,369.66,0,,227.52,0,0,0,0,0,
T1B,233.49,953.380000000001,501.23,0,569.95,216.85,413.43,859.37,0,227.52,,0,0,0,0,0,
T2B,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
Lab1B,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
