,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,464.47,524.94,328.4,396.9,137,356.66,583.59,280.63,148.35,235.91,0.34,0,0,177.85,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,464.47,0,,557.14,487.37,655.93,385.03,885.91,1093.12,371.97,201.26,245.6,28.24,0,0,301.22,
4B,524.94,0,557.14,,540.51,549.43,260.15,465.19,658.07,501.52,228.56,379.53,6.06,0,0,255.43,
5B,328.4,0,487.37,540.51,,386.42,267.33,559.2,465.79,366.34,199.05,334.76,0,0,0,178.23,
6B,396.9,0,655.93,549.43,386.42,,140.73,793.95,775.14,296.71,153.2,314.05,34.21,0,0,281.75,
7B,137,0,385.03,260.15,267.33,140.73,,562.06,346,162.06,133.6,86.27,3.25,0,0,157.66,
8B,356.66,0,885.91,465.19,559.2,793.95,562.06,,898.31,432.5,202.03,315.24,1.2,0,0,553.23,
9B,583.59,0,1093.12,658.07,465.79,775.14,346,898.31,,386.33,290.08,351.78,2.63,0,0,432.74,
10B,280.63,0,371.97,501.52,366.34,296.71,162.06,432.5,386.33,,156.79,238.85,11.12,0,0,104.04,
T1B,148.35,0,201.26,228.56,199.05,153.2,133.6,202.03,290.08,156.79,,78.1,5.43,0,0,37.63,
T2B,235.91,0,245.6,379.53,334.76,314.05,86.27,315.24,351.78,238.85,78.1,,0,0,0,103.41,
Lab1B,0.34,0,28.24,6.06,0,34.21,3.25,1.2,2.63,11.12,5.43,0,,0,0,3.35,
Lab2B,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,177.85,0,301.22,255.43,178.23,281.75,157.66,553.23,432.74,104.04,37.63,103.41,3.35,0,0,,
